date,item_name,category,stock_level,reorder_point,reorder_triggered,daily_usage,waste_units
2023-01-12,Soft Drinks Cases,Non-Alcoholic,28.0,20,False,12.0,0.52
2023-01-12,Coffee Beans kg,Non-Alcoholic,15.0,8,True,5.0,0.05
2023-01-12,Beef Patties (box),Food,25.0,15,True,18.0,0.53
2023-01-12,Cod Portions (box),Food,15.0,12,False,13.0,0.15
2023-01-12,Chicken Wings (kg),Food,19.0,15,False,16.0,0.05
2023-01-12,Frozen Chips (bag),Food,26.0,20,False,6.0,0.18
2023-01-13,Guinness Keg 50L,Draught Beer,145.0,50,False,16.0,0.28
2023-01-13,Heineken Keg 50L,Draught Beer,78.0,40,False,6.0,0.12
2023-01-13,Hop House 13 Keg,Draught Beer,63.0,30,False,10.0,0.11
2023-01-13,Rockshore Keg 50L,Draught Beer,42.0,25,True,10.0,0.3
2023-01-13,Red Wine Cases,Wine,34.0,15,True,11.0,0.52
2023-01-13,White Wine Cases,Wine,23.0,15,True,14.0,0.16
2023-01-13,Prosecco Cases,Wine,13.0,10,True,15.0,0.38
2023-01-13,Jameson 70cl,Spirits,20.0,12,False,10.0,0.27
2023-01-13,Vodka 70cl,Spirits,8.0,10,True,16.0,0.74
2023-01-13,Gin 70cl,Spirits,24.0,10,True,15.0,0.58
2023-01-13,Soft Drinks Cases,Non-Alcoholic,22.0,20,False,6.0,0.26
2023-01-13,Coffee Beans kg,Non-Alcoholic,11.0,8,True,13.0,0.29
2023-01-13,Beef Patties (box),Food,18.0,15,False,7.0,0.04
2023-01-13,Cod Portions (box),Food,21.0,12,True,13.0,0.56
2023-01-13,Chicken Wings (kg),Food,35.0,15,True,5.0,0.03
2023-01-13,Frozen Chips (bag),Food,41.0,20,True,9.0,0.27
2023-01-14,Guinness Keg 50L,Draught Beer,128.0,50,False,17.0,0.43
2023-01-14,Heineken Keg 50L,Draught Beer,62.0,40,False,16.0,0.13
2023-01-14,Hop House 13 Keg,Draught Beer,60.0,30,False,3.0,0.0
2023-01-14,Rockshore Keg 50L,Draught Beer,28.0,25,False,14.0,0.03
2023-01-14,Red Wine Cases,Wine,22.0,15,False,12.0,0.46
2023-01-14,White Wine Cases,Wine,37.0,15,True,14.0,0.14
2023-01-14,Prosecco Cases,Wine,10.0,10,True,12.0,0.23
2023-01-14,Jameson 70cl,Spirits,20.0,12,True,15.0,0.34
2023-01-14,Vodka 70cl,Spirits,11.0,10,True,4.0,0.11
2023-01-14,Gin 70cl,Spirits,18.0,10,False,6.0,0.11
2023-01-14,Soft Drinks Cases,Non-Alcoholic,50.0,20,True,17.0,0.81
2023-01-14,Coffee Beans kg,Non-Alcoholic,15.0,8,True,3.0,0.08
2023-01-14,Beef Patties (box),Food,19.0,15,True,14.0,0.38
2023-01-14,Cod Portions (box),Food,27.0,12,True,10.0,0.49
2023-01-14,Chicken Wings (kg),Food,28.0,15,False,7.0,0.27
2023-01-14,Frozen Chips (bag),Food,27.0,20,False,14.0,0.45
2023-01-15,Guinness Keg 50L,Draught Beer,112.0,50,False,16.0,0.79
2023-01-15,Heineken Keg 50L,Draught Beer,44.0,40,False,18.0,0.18
2023-01-15,Hop House 13 Keg,Draught Beer,53.0,30,False,7.0,0.3
2023-01-15,Rockshore Keg 50L,Draught Beer,65.0,25,True,17.0,0.08
2023-01-15,Red Wine Cases,Wine,38.0,15,True,13.0,0.28
2023-01-15,White Wine Cases,Wine,30.0,15,False,7.0,0.14
2023-01-15,Prosecco Cases,Wine,15.0,10,True,9.0,0.04
2023-01-15,Jameson 70cl,Spirits,30.0,12,True,9.0,0.35
2023-01-15,Vodka 70cl,Spirits,12.0,10,True,10.0,0.06
2023-01-15,Gin 70cl,Spirits,15.0,10,False,3.0,0.05
2023-01-15,Soft Drinks Cases,Non-Alcoholic,40.0,20,False,10.0,0.44
2023-01-15,Coffee Beans kg,Non-Alcoholic,10.0,8,True,12.0,0.26
2023-01-15,Beef Patties (box),Food,11.0,15,True,17.0,0.7
2023-01-15,Cod Portions (box),Food,15.0,12,False,12.0,0.14
2023-01-15,Chicken Wings (kg),Food,17.0,15,False,11.0,0.2
2023-01-15,Frozen Chips (bag),Food,43.0,20,True,17.0,0.74
2023-01-16,Guinness Keg 50L,Draught Beer,107.0,50,False,5.0,0.19
2023-01-16,Heineken Keg 50L,Draught Beer,100.0,40,True,4.0,0.09
2023-01-16,Hop House 13 Keg,Draught Beer,37.0,30,False,16.0,0.7
2023-01-16,Rockshore Keg 50L,Draught Beer,53.0,25,False,12.0,0.57
2023-01-16,Red Wine Cases,Wine,27.0,15,False,11.0,0.29
2023-01-16,White Wine Cases,Wine,24.0,15,False,6.0,0.05
2023-01-16,Prosecco Cases,Wine,14.0,10,True,12.0,0.46
2023-01-16,Jameson 70cl,Spirits,25.0,12,False,5.0,0.12
2023-01-16,Vodka 70cl,Spirits,7.0,10,True,13.0,0.21
2023-01-16,Gin 70cl,Spirits,25.0,10,True,15.0,0.26
2023-01-16,Soft Drinks Cases,Non-Alcoholic,36.0,20,False,4.0,0.13
2023-01-16,Coffee Beans kg,Non-Alcoholic,14.0,8,True,8.0,0.16
2023-01-16,Beef Patties (box),Food,35.0,15,True,11.0,0.44
2023-01-16,Cod Portions (box),Food,30.0,12,True,5.0,0.11
2023-01-16,Chicken Wings (kg),Food,33.0,15,True,18.0,0.08
2023-01-16,Frozen Chips (bag),Food,36.0,20,False,7.0,0.35
2023-01-17,Guinness Keg 50L,Draught Beer,104.0,50,False,3.0,0.03
2023-01-17,Heineken Keg 50L,Draught Beer,87.0,40,False,13.0,0.21
2023-01-17,Hop House 13 Keg,Draught Beer,33.0,30,False,4.0,0.05
2023-01-17,Rockshore Keg 50L,Draught Beer,44.0,25,False,9.0,0.33
2023-01-17,Red Wine Cases,Wine,31.0,15,True,13.0,0.04
2023-01-17,White Wine Cases,Wine,20.0,15,False,4.0,0.08
2023-01-17,Prosecco Cases,Wine,20.0,10,True,8.0,0.17
2023-01-17,Jameson 70cl,Spirits,21.0,12,True,18.0,0.73
2023-01-17,Vodka 70cl,Spirits,9.0,10,True,6.0,0.25
2023-01-17,Gin 70cl,Spirits,25.0,10,True,17.0,0.22
2023-01-17,Soft Drinks Cases,Non-Alcoholic,32.0,20,False,4.0,0.09
2023-01-17,Coffee Beans kg,Non-Alcoholic,7.0,8,True,10.0,0.31
2023-01-17,Beef Patties (box),Food,21.0,15,False,14.0,0.27
2023-01-17,Cod Portions (box),Food,14.0,12,False,16.0,0.56
2023-01-17,Chicken Wings (kg),Food,24.0,15,False,9.0,0.32
2023-01-17,Frozen Chips (bag),Food,30.0,20,False,6.0,0.05
2023-01-18,Guinness Keg 50L,Draught Beer,86.0,50,False,18.0,0.07
2023-01-18,Heineken Keg 50L,Draught Beer,71.0,40,False,16.0,0.68
2023-01-18,Hop House 13 Keg,Draught Beer,80.0,30,True,3.0,0.02
2023-01-18,Rockshore Keg 50L,Draught Beer,37.0,25,False,7.0,0.04
2023-01-18,Red Wine Cases,Wine,26.0,15,False,5.0,0.14
2023-01-18,White Wine Cases,Wine,28.0,15,True,9.0,0.41
2023-01-18,Prosecco Cases,Wine,17.0,10,True,11.0,0.27
2023-01-18,Jameson 70cl,Spirits,21.0,12,True,13.0,0.23
2023-01-18,Vodka 70cl,Spirits,25.0,10,True,13.0,0.0
2023-01-18,Gin 70cl,Spirits,13.0,10,False,12.0,0.02
2023-01-18,Soft Drinks Cases,Non-Alcoholic,27.0,20,False,5.0,0.11
2023-01-18,Coffee Beans kg,Non-Alcoholic,7.0,8,True,14.0,0.01
2023-01-18,Beef Patties (box),Food,15.0,15,True,15.0,0.11
2023-01-18,Cod Portions (box),Food,24.0,12,True,8.0,0.06
2023-01-18,Chicken Wings (kg),Food,35.0,15,True,9.0,0.23
2023-01-18,Frozen Chips (bag),Food,34.0,20,True,10.0,0.41
2023-01-19,Guinness Keg 50L,Draught Beer,74.0,50,False,12.0,0.41
2023-01-19,Heineken Keg 50L,Draught Beer,60.0,40,False,11.0,0.44
2023-01-19,Hop House 13 Keg,Draught Beer,69.0,30,False,11.0,0.43
2023-01-19,Rockshore Keg 50L,Draught Beer,59.0,25,True,15.0,0.31
2023-01-19,Red Wine Cases,Wine,19.0,15,False,7.0,0.26
2023-01-19,White Wine Cases,Wine,24.0,15,False,4.0,0.16
2023-01-19,Prosecco Cases,Wine,14.0,10,False,3.0,0.12
2023-01-19,Jameson 70cl,Spirits,30.0,12,True,16.0,0.56
2023-01-19,Vodka 70cl,Spirits,25.0,10,True,15.0,0.44
2023-01-19,Gin 70cl,Spirits,16.0,10,True,10.0,0.48
2023-01-19,Soft Drinks Cases,Non-Alcoholic,32.0,20,True,17.0,0.28
2023-01-19,Coffee Beans kg,Non-Alcoholic,13.0,8,True,9.0,0.06
2023-01-19,Beef Patties (box),Food,38.0,15,True,5.0,0.16
2023-01-19,Cod Portions (box),Food,30.0,12,True,15.0,0.71
2023-01-19,Chicken Wings (kg),Food,30.0,15,False,5.0,0.01
2023-01-19,Frozen Chips (bag),Food,30.0,20,False,4.0,0.14
2023-01-20,Guinness Keg 50L,Draught Beer,71.0,50,False,3.0,0.08
2023-01-20,Heineken Keg 50L,Draught Beer,51.0,40,False,9.0,0.33
2023-01-20,Hop House 13 Keg,Draught Beer,53.0,30,False,16.0,0.63
2023-01-20,Rockshore Keg 50L,Draught Beer,52.0,25,False,7.0,0.35
2023-01-20,Red Wine Cases,Wine,18.0,15,True,17.0,0.59
2023-01-20,White Wine Cases,Wine,19.0,15,False,5.0,0.24
2023-01-20,Prosecco Cases,Wine,6.0,10,True,13.0,0.18
2023-01-20,Jameson 70cl,Spirits,13.0,12,False,17.0,0.59
2023-01-20,Vodka 70cl,Spirits,13.0,10,False,12.0,0.3
2023-01-20,Gin 70cl,Spirits,20.0,10,True,6.0,0.04
2023-01-20,Soft Drinks Cases,Non-Alcoholic,50.0,20,True,16.0,0.67
2023-01-20,Coffee Beans kg,Non-Alcoholic,12.0,8,True,9.0,0.31
2023-01-20,Beef Patties (box),Food,32.0,15,False,6.0,0.2
2023-01-20,Cod Portions (box),Food,14.0,12,False,16.0,0.65
2023-01-20,Chicken Wings (kg),Food,22.0,15,False,8.0,0.24
2023-01-20,Frozen Chips (bag),Food,26.0,20,False,4.0,0.14
2023-01-21,Guinness Keg 50L,Draught Beer,64.0,50,False,7.0,0.15
2023-01-21,Heineken Keg 50L,Draught Beer,43.0,40,False,8.0,0.34
2023-01-21,Hop House 13 Keg,Draught Beer,42.0,30,False,11.0,0.22
2023-01-21,Rockshore Keg 50L,Draught Beer,34.0,25,False,18.0,0.76
2023-01-21,Red Wine Cases,Wine,36.0,15,True,5.0,0.06
2023-01-21,White Wine Cases,Wine,36.0,15,True,11.0,0.33
2023-01-21,Prosecco Cases,Wine,3.0,10,True,16.0,0.46
2023-01-21,Jameson 70cl,Spirits,17.0,12,True,8.0,0.09
2023-01-21,Vodka 70cl,Spirits,25.0,10,True,3.0,0.0
2023-01-21,Gin 70cl,Spirits,15.0,10,False,5.0,0.02
2023-01-21,Soft Drinks Cases,Non-Alcoholic,33.0,20,False,17.0,0.01
2023-01-21,Coffee Beans kg,Non-Alcoholic,9.0,8,False,3.0,0.09
2023-01-21,Beef Patties (box),Food,20.0,15,False,12.0,0.51
2023-01-21,Cod Portions (box),Food,30.0,12,True,4.0,0.14
2023-01-21,Chicken Wings (kg),Food,30.0,15,True,7.0,0.09
2023-01-21,Frozen Chips (bag),Food,50.0,20,True,16.0,0.36
2023-01-22,Guinness Keg 50L,Draught Beer,120.0,50,True,16.0,0.24
2023-01-22,Heineken Keg 50L,Draught Beer,83.0,40,True,9.0,0.03
2023-01-22,Hop House 13 Keg,Draught Beer,47.0,30,True,16.0,0.71
2023-01-22,Rockshore Keg 50L,Draught Beer,32.0,25,True,18.0,0.34
2023-01-22,Red Wine Cases,Wine,33.0,15,False,3.0,0.12
2023-01-22,White Wine Cases,Wine,31.0,15,False,5.0,0.13
2023-01-22,Prosecco Cases,Wine,12.0,10,True,8.0,0.07
2023-01-22,Jameson 70cl,Spirits,9.0,12,True,15.0,0.23
2023-01-22,Vodka 70cl,Spirits,14.0,10,False,11.0,0.36
2023-01-22,Gin 70cl,Spirits,12.0,10,False,3.0,0.0
2023-01-22,Soft Drinks Cases,Non-Alcoholic,23.0,20,False,10.0,0.34
2023-01-22,Coffee Beans kg,Non-Alcoholic,11.0,8,True,7.0,0.33
2023-01-22,Beef Patties (box),Food,25.0,15,True,18.0,0.61
2023-01-22,Cod Portions (box),Food,15.0,12,False,15.0,0.02
2023-01-22,Chicken Wings (kg),Food,23.0,15,False,7.0,0.32
2023-01-22,Frozen Chips (bag),Food,34.0,20,False,16.0,0.48
2023-01-23,Guinness Keg 50L,Draught Beer,106.0,50,False,14.0,0.22
2023-01-23,Heineken Keg 50L,Draught Beer,65.0,40,False,18.0,0.56
2023-01-23,Hop House 13 Keg,Draught Beer,37.0,30,False,10.0,0.11
2023-01-23,Rockshore Keg 50L,Draught Beer,66.0,25,True,18.0,0.79
2023-01-23,Red Wine Cases,Wine,26.0,15,False,7.0,0.16
2023-01-23,White Wine Cases,Wine,23.0,15,False,8.0,0.26
2023-01-23,Prosecco Cases,Wine,7.0,10,True,10.0,0.23
2023-01-23,Jameson 70cl,Spirits,21.0,12,True,17.0,0.15
2023-01-23,Vodka 70cl,Spirits,25.0,10,True,5.0,0.13
2023-01-23,Gin 70cl,Spirits,12.0,10,True,6.0,0.05
2023-01-23,Soft Drinks Cases,Non-Alcoholic,50.0,20,True,9.0,0.06
